AAL	Ashendon and Aynho Line	0.00 - 18.29	Ashendon Junction	Now NAJ3
LHS3	unknown	0.00 - 2.37	nan	nan
LHY	Lincoln Holmes Yard	82.56 - 83.25	Huntingdon South Junction via St Ives (reverse)	nan
LIA	Lincoln Avoiding Line	0.00 - 3.11	Greetwell West Junction	nan
LIC	Linwood Branch	0.00 - 2.07	Blackstone Junction	nan
LIG	Linwood Branch	0.00 - 0.61	Cart Junction	Glasgow and South Western Railway route
LIJ	Liskeard Junction	8.51 - 8.73	Looe Quay via Coombe Junction (reverse)	nan
LIL	Liskeard Loop	6.74 - 8.67	Looe Quay via Coombe Junction (reverse)	nan
LIM	Limestone Branch	13.56 - 14.07	Llandilo Junction	nan
LIT	Litchurch Branch	0.00 - 0.62	Derby Station North Box	nan
LIV	Liversedge Branch	see separate portions	nan	nan
LIV1	Heckmondwike Junction to Thornhill Junction	0.00 - 2.28	Heckmondwike Junction	nan
LIV2	MPM&TM to Heckmondwike Spen Junction	0.00 - 0.24	MPM&TM Junction	Opened 29.11.1965 to serve National Benzole Siding
LIV3	Heckmondwike Spen Junction to Liversedge	3.73 - 5.30	Heaton Lodge South Junction	nan
LIV4	Ravensthorpe Branch	?? - ??	nan	Duplicate of LIV1?
LIW	Langloan Ironworks Branch	0.00 - 0.39	Langloan Weighs Junction	nan
LJC	Lostock Junction Connecting Line	0.00 - 1.12	Chew Moor Junction	nan
LJL	Llandillo Junction to Llanelly Line	nan	nan	Now LJL1
LJL	Llandillo Junction to Llanelly Line	see separate portions	nan	nan
LJL1	Nevill's Dock End to Llanelly Dock	223.50 - 224.79	Paddington via Stroud	nan
LJL2	Llanelli Dock Junction to Llanelli Dock	224.68 - 225.12	Paddington via Stroud	nan
LJR	Lancaster Canal Tram Road	??	??	Old line in Preston removed 1870s
LJT	Llandudno Junction and Trawsfynydd Branch	see separate portions	nan	nan
LJT1	Llandudno Junction to Blaenau Ffestiniog	0.30 - 27.53	Llandudno Junction	nan
LJT2	Bala to Blaenau Ffestiniog	0.00 - 25.45	Bala Junction	nan
LKD	Lakeside Branch	0.00 - 7.71	Plumpton Junction	nan
LKL	Lumphinnans Loop	0.00 - 0.22	Lumphinnans North Junction	nan
LKY	Lumphinnans to Kelty	0.00 - 1.53	Lumphinnans Central Junction	nan
LLA	Llanelly to Llandillo Line	0.00 - 18.17	Llandeilo Junction	nan
LLB	Leslie Branch	0.00 - 4.36	Leslie	nan
LLD	Lydney Lower Dock Branch	8.32 - 9.72	Berkeley Road Junction via Docks Branch Junction (reverse)	nan
LLG	Low Level Goods	0.12 - 2.59	West London Junction	nan
LLH	Llanarth Branch	0.08 - ??	Courtybella (Town Dock) Junction	nan
LLI	Liverpool Independent Lines	157.71 - 158.73	Euston	nan
LLJ	Llandudno to Llandudno Junction Branch	0.00 - 3.14	Llandudno Junction	nan
LLL	Ladywell Loop Line (Parks Bridge Junction to Ladywell Junction)	6.23 - 6.41	Charing Cross	Original measure via Lewisham/Ladywell Junction (reverse), later remiled 6.13 - 6.29 direct
LLP	Longlands Loop (Northallerton)	see separate portions	nan	nan
LLP1	Longlands Loop Junction to Boroughbridge Road Level Crossing via Down Loop	28.67 - 29.72	York	nan
LLP2	Boroughbridge Road Level Crossing to East Low Junction	42.21 - 42.79	Leeds Wortley Junction via Harrogate Starbeck and Northallerton Low Level	nan
LLP3	Boroughbridge Road Level Crossing to Longlands Loop Junction via Up Loop	0.00 - 0.69	Boroughbridge Road Level Crossing	nan
LLPZ	Longlands to Boroughbridge Road Level Crossing via Down Loop	28.71 - 29.72	York	Not in GEOGIS but present in a structure maintenance system. Mostly duplicates LLP1
LLR	Lybster Light Railway (Wick to Lybster)	0.19 - 13.63	Wick	nan
LLS	Lea Junction to Loughton Junction (now Temple Mills East Junction) Loop (Stratford)	see separate portions	nan	nan
LLS1	High Meads Junction to Temple Mills East Junction	0.15 - 0.59	Channelsea North Junction	nan
LLS2	Lea Junction to High Meads Junction	0.51 - 0.65	Victoria Park Junction	nan
LLY	Landore Depot (Swansea)	214.65 - 215.05	Paddington via Stroud	nan
LLZ	Llwyncelyn Branch	22.70 - 23.12/ 0.00 - 0.23	Brecon/Llwyncelyn Junction	nan
LMB	Letham Branch	?? - ??	nan	Letham Mill Siding on ABG??
LMC	Limehouse Curve	0.00 - 0.23	Limehouse Junction	nan
LMD	Longsight Maintenance Depot	see separate portions	nan	nan
LMD1	Carriage Cleaning Shed	187.10 - 187.49	Euston	nan
LMD2	Up Freight Sidings	187.26 - 187.47	Euston	nan
LMD3	TMD North Shed	187.27 - 187.46	Euston	nan
LMD4	South Shed	187.11 - 187.27	Euston	nan
LMD5	Hyde Road Sidings	187.20 - 187.55	Euston	nan
LMD6	Carriage Washing Line	187.10 - 187.53	Euston	nan
LMD7	Electric Traction Depot	187.07 - 187.24	Euston	nan
LMD8	North End Arrival and Departure Roads	187.48 - 187.55	Euston	nan
LMK	Lanemark Branch	55.63 - 56.40	Glasgow Bridge Street via Dalry	Extension of KSH
LML	Lambhill Branch	0.00 - 0.50	Possil	Caledonian Railway route
LMR	Longmoor Military Railway	?? - ??	nan	MOD property
LMW	Lesmahagow Branch	1.44 - 15.48	Lesmahagow Junction, Motherwell	Ross Junction to Alton Heights Junction
LNG	Linrigg Branch	0.00 - 0.08	Linrigg Colliery Siding	Newhouse
LNH	Longniddry Junction to Haddington Branch	13.18 - 18.01	Edinburgh Waverley	nan
LNJ	Launceston Junction	31.33 - 31.55	Tavistock Junction	nan
LNK	Lanark Branch	0.00 - 2.45	Lanark Junction	nan
LNL	Lincoln Loop Line	see separate portions	nan	nan
LNL1	Spalding to Boston Sleaford Junction	93.24 - 106.70	Kings Cross	nan
LNL2	Boston, East Lincs Junction to sewer no 38A	107.61 - 137.54	Kings Cross	nan
LNL3	Sewer no 38A to Lincoln, Pelham Street Junction	137.54 - 138.13	Kings Cross	nan
LNR	Rutherglen Sidings (London Road Branch)	0.05 - 1.20	Rutherglen Central Junction	nan
LOB	Louth to Bardney Line	129.10 - 150.13	Kings Cross	nan
LOC	Loughborough Junction and Canterbury Road Junction Line	3.39 - 3.78	Holborn Viaduct	nan
LOD	London Docks Branch	0.00 - 0.17	London Docks Junction	nan
LOF	Lostwithiel and Fowey Branch	277.42 - 282.65	Paddington via Box and Plymouth Millbay (reverse)	nan
LOM	Lofthouse to Methley Branch	178.14 - 183.17/ 0.00 - 5.03	Kings Cross/Methley Line Junction	nan
LOO	Liskeard and Looe Railway/Looe and Moorswater Branch	0.00 - 7.29	Looe Quay	nan
LOP	Lochend Loop	0.00 - 0.25	Lochend Junction	nan
LOS	Lofthouse to Stourton Branch	178.47 - 184.00	Kings Cross	nan
LPJ	Lyoncross to Paisley St James Line	108.51 - ??	Carlisle via Motherwell, Larkfield Junction and Terminus Junctions	nan
LPJ2	Barrhead (Paisley & Barrhead District)	?? - ??	Carlisle	nan
LPW	Wellingborough Loop	0.00 - 0.63	Wellingborough Junction	nan
LRD	Longriggend Branches	?? - ??	nan	nan
LRE	Lanridge Branch	0.00 - 0.69	Lenbranock Branch Junction	nan
LRG	Lothian Road Goods Branch	&ap;100.67 - 100.78	Carlisle	nan
LRK	Larkhall Branch	0.00 - 3.00	Haughhead Junction	nan
LRY	Leeman Road Yard (York)	0.00 - ??	??	Listed as 0.00 - 1.00
LSB	Lincoln Street Crossing to Babbington Colliery (Cinder Hill) Branch	128.15 - 129.01	St Pancras via Corby	nan
LSC	Leamington Spa and Coventry Line	see separate portions	nan	nan
LSC1	Leamington Spa to Milverton	106.25 - 107.06	Paddington	nan
LSC2	Milverton to Coventry	0.00 - 8.45	Milverton	nan
LSG	Lynedoch Street Goods Branch	0.00 - 0.10	Greenock Lynedoch Station	nan
LSN	Lenton South to North Junctions Curve	0.00 - 0.27	Lenton South Junction	nan
LSS	Landor Street Junction to St Andrews Junction	40.58 - 41.18	Derby	Formerly part of SKN
LSY	Lincoln St Marks South Yard	32.38 - 32.65	Nottingham London Road Junction	nan
LTC	Loughborough Junction and Cambria Junction Line	3.34 - 3.57	Holborn Viaduct	nan
LTG	New Cross Gate LUL Lines	2.47 - 2.74	London Bridge	nan
LTH	Leigham Spur	6.20 - 6.40	London Bridge	nan
LTN	Liverpool Street and Norwich Line	see separate portions	nan	nan
LTN1	Liverpool Street to Trowse Lower Junction	0.00 - 113.68	Liverpool Street via Ipswich	nan
LTN2	Trowse Lower Junction to Norwich	123.00 - 124.09	Liverpool Street via Cambridge	nan
LTO	Llantrisant No. 1 Branch	2.70 - 9.71	Cardiff Central	nan
LTR	Llantrisant Branch	1.04 - 5.28	Mwyndy Junction	nan
LTV	Lichfield Trent Valley Curve	0.00 - 0.22	Lichfield High Level Goods Loop Junction	nan
LTX	New Cross LUL Lines	4.38 - 4.70	Charing Cross	nan
LUD	Lydney Upper Dock Branch	nan	nan	Now LUK
LUD	Ludgershall Branch	see separate portions	nan	nan
LUD1	Andover Junction to Red Post Junction	66.26 - 67.61	Waterloo	nan
LUD2	Red Post Junction to Ludgershall	0.00 - 5.71	Red Post Junction	Formerly part of AND
LUK	Lydney Upper Dock Branch	8.60 - 9.50	Berkeley Road Junction via Docks Branch Junction (reverse)	nan
LVE	Leen Valley Extension Line	145.68 - 147.55	Kings Cross	nan
LVN	Leven Shipyard Branch	115.24 - 115.52	Carlisle via Rutherglen, Glasgow Central Low Level and Old Kilpatrick	nan
LVS	Liverpool Street platforms 11 to 18	0.02 - 0.23	Liverpool Street	nan
LVT	Lewisham Vale and Tanners Hill Line	5.29 - 5.57	Charing Cross	nan
LVX	Leen Valley Extension	138.45 - 148.09	Kings Cross	Listed as 138.35 - 145.10
LVY	Leen Valley Railway	129.76 - 137.03	Kings Cross	nan
LWA	Remote Structures ('Long Way Away')	nan	nan	Supersedes individual portions of LWA
LWA	Remote Structures ('Long Way Away')	see separate portions	nan	nan
LWA1	BR Eastern Region	nan	nan	Listed as 0.00 - 0.01
LWA2	BR Midland Region	nan	nan	Listed as 0.10 - 1.00
LWA3	BR Scottish Region	nan	nan	Listed as 0.00 - 0.02
LWA4	BR Southern Region	nan	nan	Listed as 0.00 - 0.00; later LWAC
LWA5	BR Western Region	nan	nan	Listed as 0.00 - 0.36
LWAC	Remote Structures ('Long Way Away')	nan	nan	Formerly LWA4
LWB	Leighswood Branch	0.00 - 1.79	Leighs Wood Branch Junction	nan
LWE	Lenwade Estates Branch	?? - ??	nan	Possible branch from Lenwade Station M&GN
LWG	Leith Walk Goods Branch	1.29 - 1.52	Edinburgh Waverley	nan
LWL	Lydney West Loop	8.22 - 8.47	Berkeley Road Junction via Lydney Junction (reverse)	nan
LWW	Leeds West to Whitehall Junction Line	see separate portions	nan	nan
LWW1	Leeds Station to Leeds West Junction	20.47 - 20.70	Selby South Junction	Now in DOL2
LWW2	Leeds West Junction to Whitehall East Junction	0.00 - 0.22	Leeds West Junction	Now in DOL2
LWY	Lincoln West Yard	0.00 - 0.47	West Holmes Junction	nan
LWZ	Llangurig Branch	0.12 - 4.68	Penpontbren Junction	nan
LXC	Lennox Colliery Branch	?? - ??	nan	nan
LXG	Lennoxtown Goods Branch	0.00 - 0.20	Blane Valley Junction	nan
LXJ	Liverpool Exchange Junction to Liverpool Exchange Station Line	35.57 - 36.52	Manchester Victoria	nan
LYD	Lydford Junction	207.19 - 207.28	Waterloo	nan
LYE	Smithy Lye Sidings (Glasgow Central)	0.18 - 0.45	Bridge Street Junction	nan
LYM	Lyme Regis Branch	0.09 - 6.59	Axminster	nan
MAB	Mablethorpe Branch	128.07 - 149.43	Kings Cross	nan
MAC	Manvers Main Colliery Branch	0.00 - 0.36	Wath Junction	nan
MAC	Manchester and Cleethorpes Line	see separate portions	nan	nan
MAC1	Dunford Bridge (LM/ER boundary) to Penistone	22.20 - 28.37	Manchester London Road	nan
MAC2	Penistone to Deepcar	29.13 - 33.20	Manchester London Road via Woodhead	nan
MAC3	Deepcar to Cleethorpes	33.20 - 112.40	Manchester London Road via Woodhead	nan
MAD	Malton to Driffield Line	0.00 - 19.43	Malton East Junction	nan
MAE	Maesycwmmer Branch/Fleur de Lis Branch	10.11 - 10.69	Taff Vale Extension Junction	nan
MAH	Manningtree and Harwich Line	59.46 - 71.00	Liverpool Street	nan
MAI	Maindee East Loop	41.34 - 41.64	Rotherwas Junction	nan
MAJ	Manchester and Allerton Junction Line	6.11 - 34.05	Liverpool Central	nan
MAK	Monkland and Kirkintilloch Branch	?? - ??	nan	Line starts at Kirkintilloch Basin
MAL	Malmesbury Branch	see separate portions	nan	nan
MAL1	Dauntsey Junction to connection from Little Somerford Station	87.63 - 91.18	Paddington via Swindon and Dauntsey	nan
MAL2	Little Somerford to Malmesbury	89.66 - 93.35	Paddington via Swindon and Brinkworth	90.29 - 93.35 formerly 91.18 - 94.24 from Paddington via Swindon and Dauntsey. Line remiled 1933
MAM	Maltby Colliery Branch	see separate portions	nan	nan
MAM1	Maltby Colliery South Junction to Maltby Colliery	8.67 - 9.30	Brancliffe East Junction via Maltby Colliery Junction (reverse)	Later definition
MAM1	Maltby Colliery Branch Junction to mileage change	9.26 - 9.62	Brancliffe East Junction	Former definition
MAM2	Maltby Colliery South Junction to Maltby Colliery Bunker	0.00 - 0.43	Maltby Colliery Junction	nan
MAN	Mangotsfield South Loop	nan	nan	Now MAP
MAN	Manton Colliery Branch (Worksop)	see separate portions	nan	nan
MAN1	Manton Colliery	0.00 - 0.15	Junction with MAN2	nan
MAN2	Manton Colliery Branch	58.54 - 59.01	Manchester London Road via Woodhead	nan
MAP	Mangotsfield South Loop	0.00 - 0.33	Mangotsfield Station Junction	Formerly MAN
MAR	Marefield to Leicester Line	0.00 - 10.14	Marefield Junction South	nan
MAS	Manchester and Sheffield Line	153.73 - 174.01	St Pancras via Leicester and Toton	nan
MAT	Mold and Tryddyn Branch	see separate portions	nan	nan
MAT1	Mold to Llanfynydd	0.00 - 5.37	Mold & Tryddyn Junction	nan
MAT2	Wrexham & Minera Extension Line	0.00 - 2.67	Brymbo Junction	nan
MAU	Mauldslie Branch	0.00 - 1.22	Mauldlie Branch Junction	Off Law Junction to Shawfield Colliery Branch
MAV	Menstrie to Alve Branch	1.73 - 3.45	Cambus	Or from 2.12
MAX	Maxwelltown Branch	0.24 - 3.06	Dumfries	nan
MAY	Mayfield Branch	0.00 - 1.37	Mayfield Branch Junction	It appears that this should be the Manchester Mayfield goods station branch
MBA	Marsh Barton Estate Branch	0.00 - 0.22/ 0.24 - 0.46	Marsh Barton Junction/Exeter Railway Junction via Marsh Barton Junction (reverse and reverse count)	Formerly MBE
MBB	Musselburgh Branch	4.54 - 6.03	Edinburgh Waverley	nan
MBD	Melton to Bottesford Branch	20.28 - 34.46	Welham Junction	nan
MBE	Marsh Barton Estate Branch	nan	nan	Now MBA
MBE	Moor Row and Birksbridge Line	2.14 - 3.49	Mire House Junction	nan
MBH	Masham Branch	0.00 - 7.45	Melmerby Junction	nan
MBJ	Moorbridge Junction to Bulwell North Junction (Bulwell Connecting Line)	?? - ??	nan	nan
MBL	Mangotsfield to Bath Line	124.46 - 134.60	Derby	nan
MBN	Masborough North Curve	163.07 - 163.70	St Pancras	unable to identify at present
MBO	Marlborough Branch	70.12 - 75.58	Paddington	nan
MBT	Melton and Bottesford Line	20.33 - 21.20	Welham Junction	nan
MBW	Middlesbrough and Whitby Line	see separate portions	nan	nan
MBW1	Guisborough Junction to Battersby Junction	0.00 - 10.49	Guisborough Junction	nan
MBW2	Battersby Junction to Grosmont Junction	11.61 - 29.66	Picton	nan
MBW3	Grosmont Junction to Whitby	24.44 - 30.62	Rillington Junction	nan
MBY	Moss Bay Branch	see separate portions	nan	nan
MBY1	Moss Bay Branch	0.00 - 1.43	Harrington Junction	Moss Bay branch ( South)
MBY2	Derwent Works Branch	0.00 - 0.48	Branch junction	Moss Bay branch (North)
MCB	Markham Colliery Branch	6.77 - 7.02	Pleasley Colliery West Junction via Markham Colliery Junction (reverse direction and count)	nan
MCC	Mansfield Colliery South	0.00 - 1.00	nan	Datum unknown: presumably branch junction
MCG	Maryport and Carlisle Goods Lines	0.00 - 0.41	Currock Junction	nan
MCH	Macclesfield and Cheadle Hulme Line	0.00 - 9.37	Cheadle Hulme Junction	nan
MCJ	Marylebone to Claydon L&NE Junction	see separate portions	nan	nan
MCJ1	Marylebone and Harrow Line	197.05 - 205.78	Manchester London Road	nan
MCJ2	Metropolitan & GC Joint Line (Amersham to Verney Junction)	9.13 - 50.57	Baker Street	9.13 - 25.21 LUL property
MCJ3	Great Central Main Line (Annesley to Quainton Road via Calvert Junction)	69.59 - 161.50	Manchester London Road	nan
MCJ4	Claydon Loop (Calvert Junction to Claydon L&NE Junction)	0.00 - 0.41	Calvert Junction	nan
MCJ5	unknown	nan	Manchester London Road	nan
MCL	Moorgate to Carlton Junction Line (Midland City Line)	0.00 - 4.06	Moorgate	nan
MCO	Manners Colliery Branch	0.00 - 0.59	Manners Colliery Branch Junction	nan
MCS	Margam Cripple and Holding Sidings	198.58 - 199.32	Paddington via Stroud	nan
MCY	Mosside Colliery Branch	0.00 - 0.61	Mosside Colliery Siding, Bathgate Upper	Remainder of branch RCH
MDB	Maryport Dock Branch	0.00 - 0.64	Docks Branch Junction	nan
MDC	Middlewood Curve	0.00 - 0.32	Middlewood High Level Junction	nan
MDE	Mossend East Curve	0.00 - 0.31	Mossend South Junction	nan
MDH	Mold to Denbigh Line	see separate portions	nan	nan
MDH1	Pen-Y-Ffordd Connecting Line to Chester to Mold Branch	0.00 - 0.31	Pen-Y-Ffordd Junction	Formerly PSS1
MDH2	Mold to Denbigh	0.00 - 14.74	Mold	nan
MDI	Moor Lane Junction to Marsh (Ditton Brook Iron Works) Branch	0.00 - 1.42	Moor Lane Junction	nan
MDL	Manchester Diggle and Leeds Line	see separate portions	nan	nan
MDL1	Thornhill LNW Junction to Holbeck East Junction	32.17 - 42.03	Manchester Victoria via Huddersfield	nan
MDL2	Holbeck East Junction to Whitehall West Junction	42.03 - 42.25	Manchester Victoria via Huddersfield	Note that the 1967 rebuilding at Leeds makes it difficult to give exact definitions for this line
MDN	Mossend North Curve	-0.06 - 0.40	Mossend North Junction	nan
MDNX	Mossend North Junction	0.00 - 0.06	Mossend North Junction	Not in GEOGIS but present in a structure maintenance system
MDT	Maiden Lane Depot Line	4.33 - 4.66	Broad Street	nan
MDV	Murton And Durham Elvet Line	0.00 - 8.13	Murton Junction	nan
MDW	Mossend West Curve	91.08 - 91.50	Carlisle	nan
MDY	Maerdy Branch/Rhondda Fach Branch	16.13 - 22.62	Cardiff Bute Road	nan
MDZ	Marsh Depot Goods Branch/St Philips Marsh Goods Branch	117.58 - 118.12	Paddington via Box	nan
MEB	Moorgate Branch	see separate portions	nan	nan
MEB1	Open portion	0.00 - 3.37	Moorgate	nan
MEB2	Closed portion	&ap;2.60 - 3.34	Moorgate	nan
MED	Mile End (Devonshire St) Sidings	1.59 - 2.02	Liverpool Street	nan
MEE	Medbourne Branch	0.00 - 3.25	Drayton Junction	nan
MEG	Merthyr Goods Branch	nan	nan	Now MRG
MEG	Marsh East Junction: Grimsby Line Curve	0.00 - 0.14	Marsh East Junction	nan
MEL	Meon Valley Line	50.22 - 72.40	Waterloo via Wimbledon, Guildford (reverse) and Tongham	nan
MEN	Muirhouse South Junction to Strathbungo Junction (Glasgow Central)	see separate portions	nan	nan
MEN1	Muirhouse Central Junction to Eglinton Street Junction	0.19 - 0.70	Muirhouse South Junction	nan
MEN2	Muirhouse South Junction to Muirhouse Central Junction	0.00 - 0.19	Muirhouse South Junction	nan
MEP	Methley and Pontefract Line	59.03 - 61.13	Manchester Victoria via Rochdale, Wakefield Kirkgate and Pontefract Monkhill (reverse)	nan
MER	Merthyr Branch	0.00 - 6.22	Gelli Tarw Junction	5.70 - 6.22 now 24.19 - 24.51 in CAM
MEW	Methley Junction to Whitwood Junction Curve (Castleford)	nan	nan	See MEW2
MEW	Methley Junction to Whitwood Junction Curve (Castleford)	see separate portions	nan	nan
MEW1	Methley Junction	1.12 - 1.16	Whitwood Junction	nan
MEW2	Methley Junction to Whitwood Junction	0.00 - 1.12	Whitwood Junction	Originally MEW
MEX	Merthyr Extension Line	18.16 - 19.33	Abergavenny Junction	nan
MEY	Mellis to Eye Line	0.00 - 2.73/ 91.33 - 94.26	Liverpool Street	nan
MEZ	Merthyr Low Level Loop	0.00 - 0.19	Ynysfach Loop Junction	nan
MFB	Maud to Fraserburgh Branch	31.03 - 47.23	Aberdeen	nan
MFD	Mansfield Line	see separate portions	nan	nan
MFD1	Kirkby South Junction to Mansfield Colliery end on junction with CEM	0.00 - 6.32	Kirkby South Junction	nan
MFD2	Mansfield South Junction to Rolleston Junction	139.68 - 154.47	St Pancras via Corby and Newstead	nan
MFD3	Mansfield Colliery Branch	142.22 - 144.06	St Pancras via Corby and Newstead	nan
MFN	Milfraen Branch	2.07 - 2.52	Brynmawr	Waenavon Station to Milfraen Colliery
MGB	Monkseaton Goods Branch	?? - ??	nan	nan
MGE	Milngavie Branch	6.19 - 9.35	Glasgow Queen Street High Level via Maryhill	nan
MGS	Meikleriggs Branch	0.00 - 0.60	Meikleriggs Branch Junction	South of Paisley, Chain Road, Caledonian Railway
MGW	Milford Curve	6.27 - 7.65	Selby South Junction	nan
MGY	Middlesbrough Goods Yard	0.00 - &ap;1.34	Newport East Junction	nan
MGZ	Gilbertsons Branch	7.51 - 7.66	Swansea St Thomas Station	nan
MHB	Hadfields Branch	0.00 - 0.28	Hadfield's Branch Junction	On Sheffield District Railway between West Tinsley and Brightside Junction
MHE	Millerhill Junction to Millerhill Yard Junction Line	0.50 - 0.71	nan	nan
MHH	Morecambe and Heysham Branch	0.00 - 4.25	Morecambe Junction	nan
MHL	Millerhill Branch	see separate portions	nan	nan
MHL1	Wanton Walls to Monktonhall Junction	5.60 - 6.12	Haymarket Central Junction	Millerhill West Junction to Millerhill South Junction
MHL2	Millerhill South Junction to Wanton Walls	0.01 - 1.40	Millerhill South Junction	nan
MHL3	Millerhill East Junction to Millerhill Yard	0.00 - 0.20	Millerhill East Junction	nan
MHL4	Millerhill EMU depot	0.00 - 0.16 + sidings	Newcraighall East Junction	nan
MHS	Mirehouse and Sellafield Line	0.00 - 9.44	Mire House Junction	nan
MHY	Millerhill Yard Lines	6.30 - 7.08	Haymarket Central Junction	nan
MIA	Manchester International Airport Rail Link Line	0.00 - 1.51	Manchester Airport Station	nan
